dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
Heartbeat,10,10,6421,cosco_proto_margin_geometry_rho,0.7268292682926829,29.84,ok,0.09078274971224486,0.08742040367721338,0.09453721204934529,0.5578921665736878,0.5888459702332814,0.4102591246366501,0.7600161910057068,0.38702015032370884,0.3816666632890701,0.31201501240332924
Heartbeat,10,20,6431,cosco,0.7317073170731707,29.74,ok,,,,,,,,,,
Heartbeat,10,20,6431,cosco_proto_margin,0.7219512195121951,30.22,ok,,,,,,,,0.3731910899281502,0.38166666428248086,0.28313354204098384
Heartbeat,10,20,6431,cosco_geometry_rho,0.7317073170731707,30.17,ok,0.09198171954174376,0.089336178849171,0.09486021961666535,0.5481341527420598,0.5742288748423259,0.3943591396013896,0.7520730296770731,,,
Heartbeat,10,20,6431,cosco_proto_margin_geometry_rho,0.7219512195121951,29.26,ok,0.08983563617784762,0.08605956779795967,0.09486021961666535,0.5654708710918276,0.6082603216171265,0.40908785462379454,0.7752045234044392,0.3775793895125389,0.37833333015441895,0.3080391138792038
Heartbeat,10,30,6441,cosco,0.7317073170731707,29.71,ok,,,,,,,,,,
Heartbeat,10,30,6441,cosco_proto_margin,0.7170731707317073,28.26,ok,,,,,,,,0.3505119629204273,0.3749999970197678,0.34644053479035697
Heartbeat,10,30,6441,cosco_geometry_rho,0.7317073170731707,30.12,ok,0.0934962279746437,0.09221750165362425,0.09468957057288427,0.5356760701455415,0.5455401023228963,0.39133200446764627,0.7302361071109772,,,
Heartbeat,10,30,6441,cosco_proto_margin_geometry_rho,0.7170731707317073,31.26,ok,0.09116914191555066,0.08832922400634842,0.09468957057288427,0.5547756866688318,0.5850533187389374,0.40413883527119954,0.7575679143269857,0.33690568804740906,0.36166666547457377,0.3698383539915085
JapaneseVowels,1,10,12844,cosco,0.654054054054054,2.41,ok,,,,,,,,,,
JapaneseVowels,1,10,12844,cosco_proto_margin,0.654054054054054,2.53,ok,,,,,,,,0.0,0.0,7.357830301920573
JapaneseVowels,1,10,12844,cosco_geometry_rho,0.6405405405405405,2.34,ok,0.10702729842708067,0.10378379587689489,0.10963113614617595,0.4151941290620677,0.0,0.3985788404941559,0.0,,,
JapaneseVowels,1,10,12844,cosco_proto_margin_geometry_rho,0.6405405405405405,2.5,ok,0.10702729842708067,0.10378379587689489,0.10963113614617595,0.4151941290620677,0.0,0.3985788404941559,0.0,0.0,0.0,7.216576639811198
JapaneseVowels,1,20,12854,cosco,0.7162162162162162,2.48,ok,,,,,,,,,,
