model,model_key,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final,fft_reg_lambda,fft_reg_loss_time_mean,fft_reg_loss_freq_mean,fft_reg_loss_total_mean,fft_reg_lambda_min,fft_reg_lambda_mean,fft_reg_lambda_max,fft_reg_lambda_final,proto_margin_value,proto_margin_beta,proto_margin_base_loss_mean,proto_margin_loss_mean,proto_margin_total_loss_mean,proto_margin_positive_rate_mean,proto_margin_gap_mean
cosco_proto_margin,cosco_proto_margin_m0.3_b0.05,JapaneseVowels,1,0.6675675675675675,1.9,12844,ok,m0.3_b0.05,,,,,,,,,,,,,,,0.3,0.05,1.3740933108329774,0.0,1.3740933108329774,0.0,8.61798973083496
cosco_proto_margin,cosco_proto_margin_m0.3_b0.1,JapaneseVowels,1,0.6675675675675675,1.9,12844,ok,m0.3_b0.1,,,,,,,,,,,,,,,0.3,0.1,1.3740933108329774,0.0,1.3740933108329774,0.0,8.61798973083496
cosco_proto_margin,cosco_proto_margin_m0.3_b0.3,JapaneseVowels,1,0.6675675675675675,1.9,12844,ok,m0.3_b0.3,,,,,,,,,,,,,,,0.3,0.3,1.3740933108329774,0.0,1.3740933108329774,0.0,8.61798973083496
cosco,cosco,JapaneseVowels,10,0.9027027027027027,1.8,13660,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,JapaneseVowels,10,0.9108108108108108,1.8,13660,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,1.3981898713111878,0.003922073615722183,1.3983859753608703,0.005444444650784135,8.552366372346878
cosco_proto_margin,cosco_proto_margin_m0_b0.1,JapaneseVowels,10,0.9054054054054054,1.9,13660,ok,m0_b0.1,,,,,,,,,,,,,,,0.0,0.1,1.3970377814769745,0.0028134222159860657,1.3973191213607787,0.0044444446172565225,8.742253905534744
cosco_proto_margin,cosco_proto_margin_m0_b0.3,JapaneseVowels,10,0.9081081081081082,1.9,13660,ok,m0_b0.3,,,,,,,,,,,,,,,0.0,0.3,1.395197103023529,0.0013305219681933522,1.3955962574481964,0.0022222222946584225,9.014717195034027
cosco_proto_margin,cosco_proto_margin_m0.1_b0.05,JapaneseVowels,10,0.9108108108108108,1.9,13660,ok,m0.1_b0.05,,,,,,,,,,,,,,,0.1,0.05,1.3980704474449157,0.004416212609503418,1.3982912576198578,0.006111111268401146,8.573567807674408
cosco_proto_margin,cosco_proto_margin_m0.1_b0.1,JapaneseVowels,10,0.9108108108108108,1.9,13660,ok,m0.1_b0.1,,,,,,,,,,,,,,,0.1,0.1,1.3969429051876068,0.0031332616781583056,1.3972562313079835,0.005333333490416408,8.760408126115799
cosco_proto_margin,cosco_proto_margin_m0.1_b0.3,JapaneseVowels,10,0.9081081081081082,1.9,13660,ok,m0.1_b0.3,,,,,,,,,,,,,,,0.1,0.3,1.3948788666725158,0.0016844580182805657,1.3953842031955719,0.0034444445185363294,9.006509070396424
cosco_proto_margin,cosco_proto_margin_m0.3_b0.05,JapaneseVowels,10,0.9081081081081082,1.9,13660,ok,m0.3_b0.05,,,,,,,,,,,,,,,0.3,0.05,1.398001343011856,0.005794804524630309,1.3982910799980164,0.008777778064832091,8.581041822433471
cosco_proto_margin,cosco_proto_margin_m0.3_b0.1,JapaneseVowels,10,0.9081081081081082,1.9,13660,ok,m0.3_b0.1,,,,,,,,,,,,,,,0.3,0.1,1.396783094406128,0.004249831689521671,1.3972080767154693,0.007333333538845181,8.834990607500076
cosco_proto_margin,cosco_proto_margin_m0.3_b0.3,JapaneseVowels,10,0.9081081081081082,1.9,13660,ok,m0.3_b0.3,,,,,,,,,,,,,,,0.3,0.3,1.3941744923591615,0.002245518770068884,1.3948481488227844,0.005444444622844458,8.99478772163391
cosco,cosco,Libras,1,0.4166666666666667,2.0,3019,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,Libras,1,0.4111111111111111,2.3,3019,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,1.8258080780506134,0.0,1.8258080780506134,0.0,7.331046359539032
cosco_proto_margin,cosco_proto_margin_m0_b0.1,Libras,1,0.4166666666666667,2.3,3019,ok,m0_b0.1,,,,,,,,,,,,,,,0.0,0.1,1.8258103156089782,0.0,1.8258103156089782,0.0,7.292890944480896
cosco_proto_margin,cosco_proto_margin_m0_b0.3,Libras,1,0.4166666666666667,2.4,3019,ok,m0_b0.3,,,,,,,,,,,,,,,0.0,0.3,1.8258268284797667,0.0,1.8258268284797667,0.0,7.292547326087952
cosco_proto_margin,cosco_proto_margin_m0.1_b0.05,Libras,1,0.4166666666666667,2.4,3019,ok,m0.1_b0.05,,,,,,,,,,,,,,,0.1,0.05,1.8258972334861756,0.0,1.8258972334861756,0.0,7.2458265376091004
cosco_proto_margin,cosco_proto_margin_m0.1_b0.1,Libras,1,0.42777777777777776,2.4,3019,ok,m0.1_b0.1,,,,,,,,,,,,,,,0.1,0.1,1.8258905446529388,0.0,1.8258905446529388,0.0,7.262500929832458
cosco_proto_margin,cosco_proto_margin_m0.1_b0.3,Libras,1,0.4166666666666667,2.5,3019,ok,m0.1_b0.3,,,,,,,,,,,,,,,0.1,0.3,1.8259018206596374,0.0,1.8259018206596374,0.0,7.238065609931946
cosco_proto_margin,cosco_proto_margin_m0.3_b0.05,Libras,1,0.4166666666666667,2.6,3019,ok,m0.3_b0.05,,,,,,,,,,,,,,,0.3,0.05,1.8258043384552003,0.0,1.8258043384552003,0.0,7.293586773872375
cosco_proto_margin,cosco_proto_margin_m0.3_b0.1,Libras,1,0.4222222222222222,2.3,3019,ok,m0.3_b0.1,,,,,,,,,,,,,,,0.3,0.1,1.8259102618694305,0.0,1.8259102618694305,0.0,7.227236552238464
cosco_proto_margin,cosco_proto_margin_m0.3_b0.3,Libras,1,0.4166666666666667,2.7,3019,ok,m0.3_b0.3,,,,,,,,,,,,,,,0.3,0.3,1.8259248089790345,0.0,1.8259248089790345,0.0,7.222495901584625
cosco,cosco,Libras,10,0.8666666666666667,2.8,3451,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,Libras,10,0.8944444444444445,2.9,3451,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,2.0383240938186646,0.13023202548269183,2.044835695028305,0.10140000189654529,3.523877509087324
cosco_proto_margin,cosco_proto_margin_m0_b0.1,Libras,10,0.8833333333333333,2.9,3451,ok,m0_b0.1,,,,,,,,,,,,,,,0.0,0.1,2.0226576387882234,0.08125483602110763,2.0307831263542173,0.07960000182501972,3.737139394283295
cosco_proto_margin,cosco_proto_margin_m0_b0.3,Libras,10,0.9,2.9,3451,ok,m0_b0.3,,,,,,,,,,,,,,,0.0,0.3,1.9994604015350341,0.03261019588775525,2.0092434656620024,0.048400000985711816,4.156984624117613
cosco_proto_margin,cosco_proto_margin_m0.1_b0.05,Libras,10,0.8833333333333333,2.9,3451,ok,m0.1_b0.05,,,,,,,,,,,,,,,0.1,0.05,2.0379611456394198,0.14723730819299818,2.045323016643524,0.11180000241845846,3.5552174285054208
cosco_proto_margin,cosco_proto_margin_m0.1_b0.1,Libras,10,0.8833333333333333,2.9,3451,ok,m0.1_b0.1,,,,,,,,,,,,,,,0.1,0.1,2.0203345346450807,0.08918994666426443,2.0292535257339477,0.08746666865423322,3.7868355864286425
cosco_proto_margin,cosco_proto_margin_m0.1_b0.3,Libras,10,0.9,2.9,3451,ok,m0.1_b0.3,,,,,,,,,,,,,,,0.1,0.3,1.9990403950214386,0.03820503855822608,2.010501905679703,0.0578000009432435,4.039346398413182
cosco_proto_margin,cosco_proto_margin_m0.3_b0.05,Libras,10,0.8888888888888888,2.8,3451,ok,m0.3_b0.05,,,,,,,,,,,,,,,0.3,0.05,2.033467844724655,0.1627010970748961,2.0416029024124147,0.12406666979193687,3.5829506769776343
cosco_proto_margin,cosco_proto_margin_m0.3_b0.1,Libras,10,0.8722222222222222,2.8,3451,ok,m0.3_b0.1,,,,,,,,,,,,,,,0.3,0.1,2.0153040635585784,0.10622838172130286,2.0259268999099733,0.1015333358105272,3.7943356114625932
cosco_proto_margin,cosco_proto_margin_m0.3_b0.3,Libras,10,0.8944444444444445,2.8,3451,ok,m0.3_b0.3,,,,,,,,,,,,,,,0.3,0.3,1.9899923980236054,0.051194419459043274,2.0053507220745086,0.06793333576060831,4.130016149431467
